05/03/2021,"+0.65","Closed Account Branch 48 MARTIN PL SYDNEY","0.00"
05/03/2021,"-0.65","Account Fee","-0.65"
05/03/2021,"+0.86","Transfer from xx5860 CommBank app","0.00"
01/03/2021,"-0.86","Account Fee","-0.86"
19/01/2021,"-1943.42","Transfer to other Bank NetBank","0.00"
08/01/2021,"-400.00","Transfer To kevin ying macquarie CommBank App hongbao","+1943.42"
05/01/2021,"-625.27","Loan Repayment LN REPAY 782749904","+2343.42"
05/01/2021,"-9.90","Transfer To T LUONG PayID Phone from CommBank App knitting","+2968.69"
04/01/2021,"-276.00","Loan Repayment LN REPAY 782749832","+2978.59"
29/12/2020,"+1000.00","Direct Credit 421520 KEVIN YING repayment","+3254.59"
20/12/2020,"-100.00","Transfer to other Bank NetBank","+2254.59"
20/12/2020,"-146.00","Transfer To T LUONG PayID Phone from CommBank App presents","+2354.59"
02/12/2020,"-605.10","Loan Repayment LN REPAY 782749904","+2500.59"
01/12/2020,"-276.00","Loan Repayment LN REPAY 782749832","+3105.69"
30/11/2020,"+1000.00","Direct Credit 421520 KEVIN YING repayment","+3381.69"
18/11/2020,"-346.00","BAYSIDE CNL RATES NetBank BPAY 10272 536677","+2381.69"
03/11/2020,"-625.27","Loan Repayment LN REPAY 782749904","+2727.69"
02/11/2020,"-276.00","Loan Repayment LN REPAY 782749832","+3352.96"
29/10/2020,"+1000.00","Direct Credit 421520 KEVIN YING repayment","+3628.96"
24/10/2020,"-3000.00","Transfer to other Bank NetBank","+2628.96"
02/10/2020,"-605.10","Loan Repayment LN REPAY 782749904","+5628.96"
01/10/2020,"-276.00","Loan Repayment LN REPAY 782749832","+6234.06"
29/09/2020,"+1000.00","Direct Credit 421520 KEVIN YING repayment","+6510.06"
02/09/2020,"-625.27","Loan Repayment LN REPAY 782749904","+5510.06"
01/09/2020,"-276.00","Loan Repayment LN REPAY 782749832","+6135.33"
31/08/2020,"+1000.00","Direct Credit 421520 KEVIN YING repayment","+6411.33"
21/08/2020,"-40.00","Transfer To T LUONG PayID Phone from CommBank App groceries","+5411.33"
08/08/2020,"-29.00","Transfer To T LUONG PayID Phone from CommBank App groceries","+5451.33"
04/08/2020,"-625.27","Loan Repayment LN REPAY 782749904","+5480.33"
03/08/2020,"-276.00","Loan Repayment LN REPAY 782749832","+6105.60"
29/07/2020,"+1000.00","Direct Credit 421520 KEVIN YING repayment","+6381.60"
02/07/2020,"-605.10","Loan Repayment LN REPAY 782749904","+5381.60"
01/07/2020,"-286.00","Loan Repayment LN REPAY 782749832","+5986.70"
