21/01/2021,"-363.06","Interest charged","0.00"
21/01/2021,"-665.73","Early repayment adjustment","+363.06"
21/01/2021,"-50.00","Administrative fee for prepaying your loan in full","+1028.79"
19/01/2021,"+181078.79","Repayment/Payment","+1078.79"
01/01/2021,"+625.27","Repayment/Payment","-180000.00"
01/01/2021,"-625.27","Interest charged","-180625.27"
01/12/2020,"+605.10","Repayment/Payment","-180000.00"
01/12/2020,"-605.10","Interest charged","-180605.10"
01/11/2020,"+625.27","Repayment/Payment","-180000.00"
01/11/2020,"-625.27","Interest charged","-180625.27"
01/10/2020,"+605.10","Repayment/Payment","-180000.00"
01/10/2020,"-605.10","Interest charged","-180605.10"
01/09/2020,"+625.27","Repayment/Payment","-180000.00"
01/09/2020,"-625.27","Interest charged","-180625.27"
01/08/2020,"+625.27","Repayment/Payment","-180000.00"
01/08/2020,"-625.27","Interest charged","-180625.27"
01/07/2020,"+605.10","Repayment/Payment","-180000.00"
01/07/2020,"-605.10","Interest charged","-180605.10"
